theta;cos(theta);sin(theta)
-0.785400390625;0.7159118652;-0.7007446289
-0.76971435546875;0.7268371582;-0.6895141602
-0.753997802734375;0.7375793457;-0.6780700684
-0.73828125;0.7473144531;-0.6668090820
-0.72259521484375;0.7577209473;-0.6552124023
-0.706878662109375;0.7679138184;-0.6431884766
-0.691162109375;0.7779235840;-0.6309814453
-0.675445556640625;0.7876892090;-0.6188659668
-0.659759521484375;0.7973327637;-0.6064147949
-0.64404296875;0.8067626953;-0.5937805176
-0.628326416015625;0.8160095215;-0.5811157227
-0.612640380859375;0.8250122070;-0.5682067871
-0.596923828125;0.8338928223;-0.5551452637
-0.581207275390625;0.8424682617;-0.5420837402
-0.56549072265625;0.8510437012;-0.5288085938
-0.5498046875;0.8589172363;-0.5153503418
-0.534088134765625;0.8669433594;-0.5018615723
-0.51837158203125;0.8748168945;-0.4882507324
-0.502655029296875;0.8823547363;-0.4743957520
-0.486968994140625;0.8857116699;-0.4679565430
-0.47125244140625;0.8930053711;-0.4540100098
-0.455535888671875;0.8999633789;-0.4398498535
-0.439849853515625;0.9068603516;-0.4258117676
-0.42413330078125;0.9133300781;-0.4115905762
-0.408416748046875;0.9196777344;-0.3971557617
-0.3927001953125;0.9258422852;-0.3826599121
-0.37701416015625;0.9317626953;-0.3681945801
-0.361297607421875;0.9372558594;-0.3533935547
-0.3455810546875;0.9427795410;-0.3385925293
-0.32989501953125;0.9479980469;-0.3238525391
-0.314178466796875;0.9529724121;-0.3089599609
-0.2984619140625;0.9576110840;-0.2940063477
-0.282745361328125;0.9621582031;-0.2790527344
-0.267059326171875;0.9663696289;-0.2638244629
-0.2513427734375;0.9704895020;-0.2485961914
-0.235626220703125;0.9740295410;-0.2342834473
-0.219940185546875;0.9775390625;-0.2189636230
-0.2042236328125;0.9808959961;-0.2036132812
-0.188507080078125;0.9840393066;-0.1882934570
-0.17279052734375;0.9867553711;-0.1726989746
-0.1571044921875;0.9893798828;-0.1572570801
-0.141387939453125;0.9917907715;-0.1417846680
-0.12567138671875;0.9939575195;-0.1261901855
-0.1099853515625;0.9956970215;-0.1105346680
-0.094268798828125;0.9974365234;-0.0950317383
-0.07855224609375;0.9987182617;-0.0792541504
-0.062835693359375;0.9999084473;-0.0636291504
-0.047149658203125;0.9845581055;-0.0480957031
-0.03143310546875;0.0099487305;0.9676208496
-0.015716552734375;0.0181884766;0.9830932617
0.0;0.0170898438;-0.0150146484
0.01568603515625;0.0172119141;0.0166015625
0.031402587890625;0.0165710449;0.0477600098
0.047119140625;-0.015655517; 0.0478210449
0.06280517578125;0.9996643066;0.0636291504
0.078521728515625;0.9985351562;0.0792541504
0.09423828125;0.9971923828;0.0950317383
0.109954833984375;0.9955749512;0.1105346680
0.125640869140625;0.9937744141;0.1261901855
0.141357421875;0.9916687012;0.1417846680
0.157073974609375;0.9893188477;0.1572570801
0.172760009765625;0.9867553711;0.1726989746
0.1884765625;0.9838256836;0.1882934570
0.204193115234375;0.9808044434;0.2036132812
0.21990966796875;0.9775085449;0.2189636230
0.235595703125;0.9739990234;0.2342834473
0.251312255859375;0.9703674316;0.2485961914
0.26702880859375;0.9663696289;0.2638244629
0.28271484375;0.9620361328;0.2790527344
0.298431396484375;0.9576110840;0.2940063477
0.31414794921875;0.9529113770;0.3089599609
0.329864501953125;0.9479370117;0.3238525391
0.345550537109375;0.9427795410;0.3385925293
0.36126708984375;0.9373779297;0.3533935547
0.376983642578125;0.9315795898;0.3681945801
0.392669677734375;0.9257812500;0.3826599121
0.40838623046875;0.9196777344;0.3971557617
0.424102783203125;0.9133300781;0.4115905762
0.4398193359375;0.9067993164;0.4258117676
0.45550537109375;0.9000244141;0.4398498535
0.471221923828125;0.8929443359;0.4540100098
0.4869384765625;0.8857727051;0.4679565430
0.50262451171875;0.8822937012;0.4743957520
0.518341064453125;0.8747558594;0.4882507324
0.5340576171875;0.8669433594;0.5018615723
0.549774169921875;0.8590393066;0.5153503418
0.565460205078125;0.8508605957;0.5288085938
0.5811767578125;0.8424072266;0.5420837402
0.596893310546875;0.8338928223;0.5551452637
0.61260986328125;0.8250732422;0.5682067871
0.6282958984375;0.8160095215;0.5811157227
0.644012451171875;0.8068847656;0.5937805176
0.65972900390625;0.7973937988;0.6064147949
0.6754150390625;0.7878112793;0.6188659668
0.691131591796875;0.7779846191;0.6309814453
0.70684814453125;0.7680358887;0.6431884766
0.722564697265625;0.7578430176;0.6551818848
0.738250732421875;0.7475585938;0.6668395996
0.75396728515625;0.7374572754;0.6780395508
0.769683837890625;0.7267761230;0.6894836426
